brain,cancer,cells,health,patients,disease,body,medical,blood,care
food,species,animals,dna,human,eat,animal,bacteria,plants,nature
water,,earth,years,energy,planet,ocean,back,fish,sea
city,design,art,building,cities,space,project,buildings,york,architecture
people,,world,percent,years,money,countries,make,year,dollars
music,universe,sound,stars,space,light,black,theory,physics,play
people,war,world,political,power,country,human,violence,rights,states
,things,people,time,make,thing,kind,world,lot,work
data,internet,information,people,online,media,phone,digital,language,google
,people,time,life,years,day,back,love,women,laughter
