people,,world,percent,years,make,country,money,countries,change
,things,people,time,kind,make,thing,work,world,idea
,people,time,life,women,day,love,years,back,world
,water,years,energy,earth,time,back,life,planet,food
,brain,people,cancer,cells,years,human,health,disease,body
